IP地址,端口,TLS,数据中心,地区,国家代码,城市,网络延迟
172.64.229.137,2083,true,NRT,Asia Pacific,JP,Tokyo,57 ms
172.64.229.206,2096,true,NRT,Asia Pacific,JP,Tokyo,58 ms
172.64.229.6,2087,true,NRT,Asia Pacific,JP,Tokyo,60 ms
162.159.207.190,8443,true,SJC,North America,US,San Jose,145 ms
172.64.149.236,2087,true,SJC,North America,US,San Jose,147 ms
172.64.95.245,2083,true,SJC,North America,US,San Jose,148 ms
172.64.235.62,2087,true,SJC,North America,US,San Jose,148 ms
104.19.2.60,8443,true,SJC,North America,US,San Jose,148 ms
141.101.120.207,2096,true,SJC,North America,US,San Jose,148 ms
172.64.42.55,2053,true,SJC,North America,US,San Jose,148 ms
104.17.128.177,2087,true,SJC,North America,US,San Jose,149 ms
172.64.41.85,2083,true,SJC,North America,US,San Jose,149 ms
104.19.14.33,2083,true,SJC,North America,US,San Jose,149 ms
190.93.247.185,2083,true,SJC,North America,US,San Jose,149 ms
162.159.247.84,8443,true,LAX,North America,US,Los Angeles,150 ms
104.19.107.10,2096,true,SJC,North America,US,San Jose,150 ms
104.16.158.228,2083,true,SJC,North America,US,San Jose,150 ms
172.64.85.137,2087,true,SJC,North America,US,San Jose,150 ms
104.16.0.114,2087,true,SJC,North America,US,San Jose,150 ms
172.64.85.70,2087,true,SJC,North America,US,San Jose,150 ms
104.18.104.76,8443,true,SJC,North America,US,San Jose,150 ms
172.66.44.182,2083,true,SJC,North America,US,San Jose,150 ms
172.64.32.20,2083,true,SJC,North America,US,San Jose,151 ms
141.101.121.31,2096,true,SJC,North America,US,San Jose,151 ms
108.162.198.178,2053,true,SJC,North America,US,San Jose,151 ms
172.64.235.32,8443,true,SJC,North America,US,San Jose,151 ms
198.41.196.27,2096,true,SJC,North America,US,San Jose,151 ms
104.17.171.10,2096,true,SJC,North America,US,San Jose,151 ms
104.19.96.53,2083,true,SJC,North America,US,San Jose,151 ms
172.64.235.51,2053,true,SJC,North America,US,San Jose,151 ms
104.17.143.64,8443,true,SJC,North America,US,San Jose,151 ms
162.159.244.163,8443,true,LAX,North America,US,Los Angeles,151 ms
198.41.192.15,2087,true,SJC,North America,US,San Jose,151 ms
172.64.230.51,2053,true,SJC,North America,US,San Jose,151 ms
104.19.44.230,2083,true,SJC,North America,US,San Jose,151 ms
104.18.57.244,2087,true,SJC,North America,US,San Jose,151 ms
162.159.235.76,2053,true,SJC,North America,US,San Jose,152 ms
172.64.159.88,2053,true,SJC,North America,US,San Jose,152 ms
104.19.127.69,8443,true,SJC,North America,US,San Jose,152 ms
172.66.45.36,2096,true,SJC,North America,US,San Jose,152 ms
104.19.185.47,2053,true,SJC,North America,US,San Jose,152 ms
162.159.27.151,2053,true,SJC,North America,US,San Jose,152 ms
104.19.32.84,2096,true,SJC,North America,US,San Jose,152 ms
172.64.35.4,2083,true,SJC,North America,US,San Jose,152 ms
104.19.13.231,8443,true,SJC,North America,US,San Jose,152 ms
172.64.34.111,2087,true,SJC,North America,US,San Jose,152 ms
172.64.144.4,2096,true,SJC,North America,US,San Jose,152 ms
104.18.231.127,2083,true,SJC,North America,US,San Jose,152 ms
172.64.35.234,2053,true,SJC,North America,US,San Jose,152 ms
172.64.42.44,2083,true,SJC,North America,US,San Jose,153 ms
162.159.207.153,2053,true,SJC,North America,US,San Jose,153 ms
