IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.93.5,2082,2082,false,SIN,Asia Pacific,Singapore,13,9.42
47.236.172.71,2086,2086,false,SIN,Asia Pacific,Singapore,31,9.42
8.219.139.13,8443,8443,true,SIN,Asia Pacific,Singapore,72,9.41
8.219.73.188,443,443,true,SIN,Asia Pacific,Singapore,60,9.40
8.219.156.148,8880,8880,false,SIN,Asia Pacific,Singapore,11,9.40
8.219.86.200,2096,2096,true,SIN,Asia Pacific,Singapore,87,9.40
8.219.98.13,2086,2086,false,SIN,Asia Pacific,Singapore,20,9.39
8.219.103.57,2087,2087,true,SIN,Asia Pacific,Singapore,79,9.38
47.236.104.98,443,443,true,SIN,Asia Pacific,Singapore,119,9.38
8.217.250.222,8080,8080,false,HKG,Asia Pacific,Hong Kong,46,9.38
8.210.250.120,2096,2096,true,HKG,Asia Pacific,Hong Kong,47,9.37
8.222.137.192,2095,2095,false,SIN,Asia Pacific,Singapore,66,9.37
8.217.250.5,2086,2086,false,HKG,Asia Pacific,Hong Kong,44,9.37
8.222.212.219,2095,2095,false,SIN,Asia Pacific,Singapore,3,9.37
8.219.87.34,2082,2082,false,SIN,Asia Pacific,Singapore,17,9.36
8.222.221.109,2095,2095,false,SIN,Asia Pacific,Singapore,5,9.36
8.222.150.197,2087,2087,true,SIN,Asia Pacific,Singapore,101,9.36
8.222.208.38,2086,2086,false,SIN,Asia Pacific,Singapore,17,9.36
47.236.172.95,2087,2087,true,SIN,Asia Pacific,Singapore,89,9.35
8.210.174.156,2053,2053,true,HKG,Asia Pacific,Hong Kong,54,9.35
8.222.197.251,2053,2053,true,SIN,Asia Pacific,Singapore,88,9.35
8.222.160.176,2087,2087,true,SIN,Asia Pacific,Singapore,102,9.33
8.222.144.50,2096,2096,true,SIN,Asia Pacific,Singapore,209,9.33
8.218.18.132,8080,8080,false,HKG,Asia Pacific,Hong Kong,69,9.33
8.222.183.242,2096,2096,true,SIN,Asia Pacific,Singapore,49,9.31
47.242.176.237,2053,2053,true,HKG,Asia Pacific,Hong Kong,52,9.31
8.219.73.21,80,80,false,SIN,Asia Pacific,Singapore,10,9.31
8.219.6.157,2086,2086,false,SIN,Asia Pacific,Singapore,4,9.29
8.218.18.235,8880,8880,false,HKG,Asia Pacific,Hong Kong,161,9.29
8.218.65.237,2086,2086,false,HKG,Asia Pacific,Hong Kong,48,9.29
8.218.207.169,80,80,false,HKG,Asia Pacific,Hong Kong,38,9.28
8.222.212.172,80,80,false,SIN,Asia Pacific,Singapore,4,9.28
8.219.156.148,2096,2096,true,SIN,Asia Pacific,Singapore,75,9.28
8.218.207.169,2053,2053,true,HKG,Asia Pacific,Hong Kong,88,9.27
47.236.144.156,2083,2083,true,SIN,Asia Pacific,Singapore,90,9.27
47.243.107.148,2052,2052,false,HKG,Asia Pacific,Hong Kong,44,9.27
8.219.196.24,2086,2086,false,SIN,Asia Pacific,Singapore,12,9.27
8.222.223.34,2096,2096,true,SIN,Asia Pacific,Singapore,34,9.26
8.222.160.176,8443,8443,true,SIN,Asia Pacific,Singapore,99,9.26
47.242.176.237,2096,2096,true,HKG,Asia Pacific,Hong Kong,48,9.26
8.218.207.169,8880,8880,false,HKG,Asia Pacific,Hong Kong,45,9.26
47.243.107.148,8443,8443,true,HKG,Asia Pacific,Hong Kong,45,9.26
47.76.49.246,2052,2052,false,HKG,Asia Pacific,Hong Kong,50,9.25
8.222.144.117,443,443,true,SIN,Asia Pacific,Singapore,126,9.25
8.222.144.117,80,80,false,SIN,Asia Pacific,Singapore,15,9.24
47.251.74.226,80,80,false,LAX,North America,Los Angeles,177,9.24
8.222.140.87,2082,2082,false,SIN,Asia Pacific,Singapore,79,9.23
8.218.146.204,8080,8080,false,HKG,Asia Pacific,Hong Kong,50,9.23
47.236.171.205,2096,2096,true,SIN,Asia Pacific,Singapore,142,9.22
8.218.211.17,80,80,false,HKG,Asia Pacific,Hong Kong,73,9.22
8.219.140.229,8080,8080,false,SIN,Asia Pacific,Singapore,16,9.22
47.243.70.197,2052,2052,false,HKG,Asia Pacific,Hong Kong,39,9.22
8.219.98.13,2053,2053,true,SIN,Asia Pacific,Singapore,146,9.21
47.236.202.91,2082,2082,false,SIN,Asia Pacific,Singapore,32,9.21
8.222.152.165,2053,2053,true,SIN,Asia Pacific,Singapore,102,9.20
