IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
103.184.45.253,2053,true,SJC,North America,San Jose,169 ms,4291 kB/s
103.184.45.217,2053,true,SJC,North America,San Jose,163 ms,3670 kB/s
103.184.45.164,2053,true,SJC,North America,San Jose,190 ms,3591 kB/s
103.184.45.204,2053,true,SJC,North America,San Jose,160 ms,3019 kB/s
103.184.45.240,2053,true,SJC,North America,San Jose,168 ms,2981 kB/s
103.184.45.226,2053,true,SJC,North America,San Jose,162 ms,2961 kB/s
103.184.45.155,2053,true,SJC,North America,San Jose,175 ms,2830 kB/s
103.184.45.32,2053,true,SJC,North America,San Jose,165 ms,2811 kB/s
103.184.45.254,2053,true,SJC,North America,San Jose,178 ms,2776 kB/s
103.184.45.189,2053,true,SJC,North America,San Jose,197 ms,2664 kB/s
103.184.45.73,2053,true,SJC,North America,San Jose,196 ms,2604 kB/s
103.184.45.98,2053,true,SJC,North America,San Jose,223 ms,2595 kB/s
103.184.45.5,2053,true,SJC,North America,San Jose,155 ms,2588 kB/s
103.184.45.63,2053,true,SJC,North America,San Jose,203 ms,2517 kB/s
103.184.45.243,2053,true,SJC,North America,San Jose,170 ms,2497 kB/s
103.184.45.193,2053,true,SJC,North America,San Jose,187 ms,2481 kB/s
103.184.45.196,2053,true,SJC,North America,San Jose,197 ms,2475 kB/s
103.184.45.192,2053,true,SJC,North America,San Jose,214 ms,2462 kB/s
103.184.45.58,2053,true,SJC,North America,San Jose,191 ms,2454 kB/s
103.184.45.106,2053,true,SJC,North America,San Jose,213 ms,2453 kB/s
103.184.45.62,2053,true,SJC,North America,San Jose,212 ms,2409 kB/s
103.184.45.78,2053,true,SJC,North America,San Jose,214 ms,2396 kB/s
103.184.45.54,2053,true,SJC,North America,San Jose,162 ms,2382 kB/s
103.184.45.66,2053,true,SJC,North America,San Jose,204 ms,2365 kB/s
103.184.45.181,2053,true,SJC,North America,San Jose,191 ms,2359 kB/s
103.184.45.247,2053,true,SJC,North America,San Jose,173 ms,2321 kB/s
103.184.45.161,2053,true,SJC,North America,San Jose,170 ms,2321 kB/s
103.184.45.28,2053,true,SJC,North America,San Jose,167 ms,2281 kB/s
103.184.45.92,2053,true,SJC,North America,San Jose,222 ms,2268 kB/s
103.184.45.115,2053,true,SJC,North America,San Jose,213 ms,2259 kB/s
103.184.45.249,2053,true,SJC,North America,San Jose,167 ms,2248 kB/s
